NodeID,PacketsSent,PacketsDropped,SendRate,EnqueueRatio,DropRatio,NodeType
480,488,424,60.063,0.131148,0.868852,Attacker
481,104,40,15.8214,0.615385,0.384615,Attacker
482,560,496,89.3467,0.114286,0.885714,Attacker
483,286,280,33.8247,0.020979,0.979021,Attacker
484,882,818,91.1101,0.0725624,0.927438,Attacker
485,119,55,17.01,0.537815,0.462185,Attacker
486,474,410,47.8774,0.135021,0.864979,Attacker
487,257,193,28.156,0.249027,0.750973,Attacker
488,182,118,24.201,0.351648,0.648352,Attacker
489,400,337,43.8935,0.1575,0.8425,Attacker
490,210,146,22.922,0.304762,0.695238,Attacker
491,1002,938,102.413,0.0638723,0.936128,Attacker
492,89,25,14.7817,0.719101,0.280899,Attacker
493,218,154,28.1313,0.293578,0.706422,Attacker
494,130,66,25.9297,0.492308,0.507692,Attacker
495,1740,1676,203.755,0.0367816,0.963218,Attacker
496,331,267,39.3013,0.193353,0.806647,Attacker
497,210,146,27.0827,0.304762,0.695238,Attacker
498,762,698,98.6715,0.0839895,0.91601,Attacker
499,362,298,40.3571,0.176796,0.823204,Attacker
